UF;Localização;Ano;Número de poços produtores de petróleo e de gás natural
Amazonas;Terra;2009;63
Maranhão;Terra;2009;0
Ceará;Terra;2009;423
Ceará;Mar;2009;39
Rio Grande do Norte;Terra;2009;3529
Rio Grande do Norte;Mar;2009;103
Alagoas;Terra;2009;181
Alagoas;Mar;2009;1
Sergipe;Terra;2009;1577
Sergipe;Mar;2009;70
Bahia;Terra;2009;1734
Bahia;Mar;2009;10
Espírito Santo;Terra;2009;254
Espírito Santo;Mar;2009;17
Rio de Janeiro;Mar;2009;554
São Paulo;Mar;2009;5
Amazonas;Terra;2010;55
Maranhão;Terra;2010;0
Ceará;Terra;2010;437
Ceará;Abr;2010;41
Rio Grande do Norte;Terra;2010;3808
Rio Grande do Norte;Abr;2010;103
Alagoas;Terra;2010;183
Alagoas;Abr;2010;1
Sergipe;Terra;2010;1679
Sergipe;Abr;2010;70
Bahia;Terra;2010;1684
Bahia;Abr;2010;9
Espírito Santo;Terra;2010;285
Espírito Santo;Mar;2010;38
Rio de Janeiro;Mar;2010;555
São Paulo;Mar;2010;7
Amazonas;Terra;2011;56
Maranhão;Terra;2011;0
Ceará;Terra;2011;447
Ceará;Mai;2011;37
Rio Grande do Norte;Terra;2011;3864
Rio Grande do Norte;Mai;2011;89
Alagoas;Terra;2011;175
Alagoas;Mai;2011;1
Sergipe;Terra;2011;1716
Sergipe;Mai;2011;61
Bahia;Terra;2011;1722
Bahia;Mai;2011;9
Espírito Santo;Terra;2011;295
Espírito Santo;Mar;2011;43
Rio de Janeiro;Mar;2011;522
São Paulo;Mar;2011;7
Amazonas;Terra;2012;66
Maranhão;Terra;2012;1
Ceará;Terra;2012;333
Ceará;Jun;2012;41
Rio Grande do Norte;Terra;2012;3835
Rio Grande do Norte;Jun;2012;96
Alagoas;Terra;2012;173
Alagoas;Jun;2012;1
Sergipe;Terra;2012;1820
Sergipe;Jun;2012;62
Bahia;Terra;2012;1681
Bahia;Jun;2012;8
Espírito Santo;Terra;2012;318
Espírito Santo;Mar;2012;50
Rio de Janeiro;Mar;2012;522
São Paulo;Mar;2012;11
Amazonas;Terra;2013;69
Maranhão;Terra;2013;13
Ceará;Terra;2013;317
Ceará;Jul;2013;41
Rio Grande do Norte;Terra;2013;3902
Rio Grande do Norte;Jul;2013;91
Alagoas;Terra;2013;151
Alagoas;Jul;2013;1
Sergipe;Terra;2013;1822
Sergipe;Jul;2013;54
Bahia;Terra;2013;1640
Bahia;Jul;2013;14
Espírito Santo;Terra;2013;315
Espírito Santo;Mar;2013;57
Rio de Janeiro;Mar;2013;490
São Paulo;Mar;2013;17
Amazonas;Terra;2014;64
Maranhão;Terra;2014;16
Ceará;Terra;2014;324
Ceará;Ago;2014;42
Rio Grande do Norte;Terra;2014;3902
Rio Grande do Norte;Ago;2014;86
Alagoas;Terra;2014;148
Alagoas;Ago;2014;1
Sergipe;Terra;2014;1813
Sergipe;Ago;2014;55
Bahia;Terra;2014;1659
Bahia;Ago;2014;10
Espírito Santo;Terra;2014;337
Espírito Santo;Mar;2014;67
Rio de Janeiro;Mar;2014;556
São Paulo;Mar;2014;24
Amazonas;Terra;2015;64
Maranhão;Terra;2015;24
Ceará;Terra;2015;236
Ceará;Set;2015;34
Rio Grande do Norte;Terra;2015;4023
Rio Grande do Norte;Set;2015;76
Alagoas;Terra;2015;157
Alagoas;Set;2015;1
Sergipe;Terra;2015;1711
Sergipe;Set;2015;35
Bahia;Terra;2015;1544
Bahia;Set;2015;13
Espírito Santo;Terra;2015;347
Espírito Santo;Mar;2015;63
Rio de Janeiro;Mar;2015;538
São Paulo;Mar;2015;26
Amazonas;Terra;2016;64
Maranhão;Terra;2016;39
Ceará;Terra;2016;227
Ceará;Out;2016;26
Rio Grande do Norte;Terra;2016;3988
Rio Grande do Norte;Out;2016;78
Alagoas;Terra;2016;155
Alagoas;Out;2016;1
Sergipe;Terra;2016;1632
Sergipe;Out;2016;29
Bahia;Terra;2016;1372
Bahia;Out;2016;6
Espírito Santo;Terra;2016;295
Espírito Santo;Mar;2016;71
Rio de Janeiro;Mar;2016;518
São Paulo;Mar;2016;26
Amazonas;Terra;2017;62
Maranhão;Terra;2017;43
Ceará;Terra;2017;210
Ceará;Nov;2017;26
Rio Grande do Norte;Terra;2017;3766
Rio Grande do Norte;Nov;2017;80
Alagoas;Terra;2017;132
Alagoas;Nov;2017;1
Sergipe;Terra;2017;1432
Sergipe;Nov;2017;30
Bahia;Terra;2017;1256
Bahia;Nov;2017;60
Espírito Santo;Terra;2017;295
Espírito Santo;Mar;2017;72
Rio de Janeiro;Mar;2017;493
São Paulo;Mar;2017;31
Amazonas;Terra;2018;69
Maranhão;Terra;2018;21
Ceará;Terra;2018;207
Ceará;Dez;2018;28
Rio Grande do Norte;Terra;2018;3582
Rio Grande do Norte;Dez;2018;74
Alagoas;Terra;2018;137
Alagoas;Dez;2018;1
Sergipe;Terra;2018;1120
Sergipe;Dez;2018;27
Bahia;Terra;2018;1235
Bahia;Dez;2018;6
Espírito Santo;Terra;2018;279
Espírito Santo;Mar;2018;68
Rio de Janeiro;Mar;2018;473
São Paulo;Mar;2018;30
